id,name,start_date,end_date,replaces,replaced_by
Q959198,Eric Campbell Geddes,1919-05-19,1921-11-07,,Q2920090
Q2920090,"William Peel, 1st Earl Peel",1921-11-07,1922-04-12,Q959198,Q3703236
Q3703236,"David Lindsay, 27th Earl of Crawford",1922-04-12,1922-10-31,Q2920090,Q334198
Q334198,"John Baird, 1st Viscount Stonehaven",1922-10-31,1924-01-22,Q3703236,Q15452587
Q15452587,Harry Gosling,1924-01-24,1924-11-03,Q334198,Q13529783
Q13529783,"Wilfrid Ashley, 1st Baron Mount Temple",1924-11-11,1929-06-04,Q15452587,Q335791
Q335791,Herbert Morrison,1929-06-07,1931-08-24,Q13529783,Q7167529
Q7167529,John Pybus,1931-09-03,1933-02-22,Q335791,Q3497552
Q3497552,Oliver Stanley,1933-02-22,1934-06-29,Q7167529,Q122522
Q122522,"Leslie Hore-Belisha, 1st Baron Hore-Belisha",1934-06-29,1937-05-28,Q3497552,Q6530677
Q6530677,Leslie Burgin,1937-05-28,1939-04-21,Q122522,Q5405305
Q5405305,Euan Wallace,1939-04-21,1940-05-14,Q6530677,Q320851
Q320851,"John Reith, 1st Baron Reith",1940-05-14,1940-10-03,Q5405305,Q336729
Q336729,"John Moore-Brabazon, 1st Baron Brabazon of Tara",1940-10-03,1941-05-01,Q320851,Q5498257
Q5498257,"Frederick Leathers, 1st Viscount Leathers",1941-05-01,1945-07-26,Q5498257,Q4722296
Q4722296,Alfred Barnes (Labour politician),1945-08-04,1951-10-26,Q4722296,Q6246292
Q6246292,"John Maclay, 1st Viscount Muirshiel",1951-10-31,1952-05-07,Q4722296,Q4707145
Q4707145,"Alan Lennox-Boyd, 1st Viscount Boyd of Merton",1952-05-07,1954-07-28,Q4707145,Q333334
Q333334,John Boyd-Carpenter,1954-07-28,1955-12-20,Q4707145,Q334345
Q334345,"Harold Watkinson, 1st Viscount Watkinson",1955-12-20,1959-10-14,Q333334,Q5393524
Q5393524,Ernest Marples,1959-10-14,1964-10-16,Q334345,Q7815859
Q7815859,Tom Fraser,1964-10-16,1965-12-23,Q5393524,Q2883936
Q2883936,Barbara Castle,1965-12-23,1968-04-06,Q7815859,Q333512
Q333512,"Richard Marsh, Baron Marsh",1968-04-06,1969-10-06,Q2883936,Q334362
Q334362,Fred Mulley,1969-10-06,1970-06-19,Q333512,Q1701413
Q1701413,"John Peyton, Baron Peyton of Yeovil",1970-06-23,1970-10-15,Q334362,Q333858
Q333858,"Peter Walker, Baron Walker of Worcester",1970-10-15,1972-11-05,Q1701413,Q5534874
Q5534874,Geoffrey Rippon,1972-11-05,1974-03-04,Q333858,Q301252
Q301252,Anthony Crosland,1974-03-05,1976-04-08,Q5534874,Q333259
Q333259,"Bill Rodgers, Baron Rodgers of Quarry Bank",1976-09-10,1979-05-04,Q301252,Q332919
Q332919,Norman Fowler,1979-05-11,1981-01-05,Q333259,Q332919
Q332919,Norman Fowler,1981-01-05,1981-09-14,Q332919,Q333046
Q333046,"David Howell, Baron Howell of Guildford",1981-09-14,1983-06-11,Q332919,Q333312
Q333312,"Tom King, Baron King of Bridgwater",1983-06-11,1983-10-16,Q333046,Q324805
Q324805,Nicholas Ridley (politician),1983-10-16,1986-05-21,Q333312,Q93557
Q93557,John Moore (British MP),1986-05-21,1987-06-13,Q324805,Q3069915
Q3069915,Paul Channon,1987-06-13,1989-07-24,Q93557,Q327810
Q327810,Cecil Parkinson,1989-07-24,1990-11-28,Q3069915,Q333487
Q333487,Malcolm Rifkind,1990-11-28,1992-04-10,Q327810,Q332940
Q332940,"John MacGregor, Baron MacGregor of Pulham Market",1992-04-10,1994-07-20,Q333487,Q333410
Q333410,Brian Mawhinney,1994-07-20,1995-07-05,Q332940,Q259836
Q259836,"Sir George Young, 6th Baronet",1995-07-05,1997-05-02,Q333410,Q332393
Q332393,John Prescott,1997-05-02,2001-06-08,Q259836,Q332837
Q332837,Stephen Byers,2001-06-08,2002-05-29,Q332393,Q296639
Q296639,Alistair Darling,2002-05-29,2006-05-05,Q332837,Q259106
Q259106,Douglas Alexander,2006-05-05,2007-06-27,Q296639,Q272644
Q272644,Ruth Kelly,2007-06-28,2008-10-03,Q259106,Q332385
Q332385,Geoff Hoon,2008-10-03,2009-06-05,Q272644,Q337156
Q337156,"Andrew Adonis, Baron Adonis",2009-06-05,2010-05-11,Q332385,Q332987
Q332987,Philip Hammond,2010-05-12,2011-10-14,Q337156,Q333012
Q333012,Justine Greening,2011-10-14,2012-09-04,Q332987,Q333267
Q333267,Patrick McLoughlin,2012-09-04,2016-07-14,Q333012,Q337453
Q337453,Chris Grayling,2016-07-14,2019-07-24,Q333267,Q478596
Q478596,Grant Shapps,2019-07-24,,Q337453,
